Nom,Sous-type,Commune,Code postal,Département,Région,Latitude,Longitude,Site internet
Ciné / Archives : Leni Rifensthal,"Site sportif, récréatif et de loisirs",Abbeville,80100,Somme,Hauts-de-France,50.10832,1.83481,https://cinerex-abbeville.fr/FR/9/cinema-rex-centre-culturel-abbeville.html
Chez Tio Père,Hébergement,Wimy,02500,Aisne,Hauts-de-France,49.93796,3.99815,
Jacques et Chirac,"Évènement culturel,Site sportif, récréatif et de loisirs",Chauny,02300,Aisne,Hauts-de-France,49.62258,3.22091,http://billetterie.ville-chauny.fr/catalogue_spectacle?lng=1
Boulangerie Pâtisserie Watteau,Restauration,Albert,80300,Somme,Hauts-de-France,50.00291,2.65217,
Festival Les Mots en l'Aire - Balades graphiques à Coye-la-Forêt,"Évènement sports et loisirs,Site sportif, récréatif et de loisirs",Coye-la-Forêt,60580,Oise,Hauts-de-France,49.14385,2.46826,https://biblio-coyelaforet.fr/
"Piscine ""Au Cœur d'eau""","Pratique,Site sportif, récréatif et de loisirs",Hornaing,59171,Nord,Hauts-de-France,50.3695784,3.3359468,
Location de vélos,"Location,Site sportif, récréatif et de loisirs,Prestataire de service",Pecquencourt,59146,Nord,Hauts-de-France,50.3735312,3.2263219,
Aux délices,Fournisseur de dégustation,Albert,80300,Somme,Hauts-de-France,50.00299,2.64853,https://albert.auxdelices.digital/
L'Escapade - Love Room,"Produit d'hébergement,Hébergement",Laon,02000,Aisne,Hauts-de-France,49.5652,3.61646,
Carnet de route de Blangy à Saint-Michel,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Hirson,02500,Aisne,Hauts-de-France,49.9428303,4.086783,
Carnet de route d'Anor à Buire,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Hirson,02500,Aisne,Hauts-de-France,49.9731698,4.12062711,
Carnet de route de Guise à Monceau-sur-Oise,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Guise,02120,Aisne,Hauts-de-France,49.8986109,3.62436836,
Carnet de route de Blangy à Luzoir,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Hirson,02500,Aisne,Hauts-de-France,49.9418603,4.08924527,
Carnet de route de Blangy à Etréaupont,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Hirson,02500,Aisne,Hauts-de-France,49.9369025,4.08337659,
Studio Hippolyte,Hébergement,Compiègne,60200,Oise,Hauts-de-France,49.41938,2.82847,
Carnet de route de Guise à Origny Sainte-Benoite,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Guise,02120,Aisne,Hauts-de-France,49.8986386,3.62451857,
Apart'Moment Bourbourg,Hébergement,Bourbourg,59630,Nord,Hauts-de-France,50.9470901,2.1925317,https://apartmoment.com/
Carnet de route de Monampteuil à Chamouille,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Monampteuil,02000,Aisne,Hauts-de-France,49.4737196,3.55453159,
La Maison des Roses,Hébergement,Fontaine-Chaalis,60300,Oise,Hauts-de-France,49.17062,2.6846,https://www.gites-de-france.com/fr/hauts-de-france/oise/la-maison-des-roses-60g602512?adults=2&children=0&infants=0
Carnet de route de Buire à Etréaupont,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Buire,02500,Aisne,Hauts-de-France,49.90305,4.056255,
Carnet de route de Guise à Englancourt,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Guise,02120,Aisne,Hauts-de-France,49.8993987,3.63265102,
Carnet de route d'Anor à Guise,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Hirson,02500,Aisne,Hauts-de-France,49.9691951,4.10770959,
Carnet de route de Buire à Luzoir,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Buire,02500,Aisne,Hauts-de-France,49.909697,4.06410848,
Carnet de route de Alaincourt à Lucy,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Alaincourt,02240,Aisne,Hauts-de-France,49.7653197,3.37553366,
Carnet de route de Monampteuil à Vauclair,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Monampteuil,02000,Aisne,Hauts-de-France,49.4672044,3.55581905,
Carnet de route de Chauny à la Fère,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Chauny,02300,Aisne,Hauts-de-France,49.615576,3.219421,
Carnet de route de Chamouille à Vauclair,"Site sportif, récréatif et de loisirs,Itinéraire pédestre,Itinéraire cyclable,Itinéraire équestre",Chamouille,02860,Aisne,Hauts-de-France,49.4701601,3.66762821,
Chambres d'hôtes chez Eddie,Hébergement,Saint-Jans-Cappel,59270,Nord,Hauts-de-France,50.7641026,2.7216575,
Hôtel Mercure Centre Arras,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.286756,2.778767,http://www.accorhotels.com/fr/hotel-1560-hotel-mercure-arras-centre-gare/index.shtml
