Nom,Sous-type,Commune,Code postal,Département,Région,Latitude,Longitude,Site internet
Vin sur vin,"Commerce de détail,Fournisseur de dégustation",Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.930453,6.872213,http://www.vinsurvin-chamonix.com/
Gîte le Chamoniard Volant,Hébergement,Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.929229,6.880649,http://www.chamoniard.com/
Bar d'up,"Site sportif, récréatif et de loisirs,Restauration",Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.924177,6.870246,
Barrage d'Emosson,Site culturel,Vallorcine,74660,Haute-Savoie,Auvergne-Rhône-Alpes,46.067752,6.934175,"http://www.vallorcine.com/,http://www.emosson.ch/"
Télécabine Panoramic Mont-Blanc,"Site sportif, récréatif et de loisirs,Transport",Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.880449,6.889114,http://www.montblancnaturalresort.com/fr/
Hôtel Le Morgane,"Restauration,Hébergement",Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.919841,6.868815,http://www.morgane-hotel-chamonix.com/
Glacier des Bossons,Site naturel,Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.890007,6.85577,http://www.chamoniarde.com/
Terrain de pétanque,"Site sportif, récréatif et de loisirs",Vallorcine,74660,Haute-Savoie,Auvergne-Rhône-Alpes,46.033191,6.931643,http://www.vallorcine.com/
Décollage de Planpraz - Brévent,"Site sportif, récréatif et de loisirs",Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.936706,6.851091,http://www.ffvl.fr/sites/sites.php3?id=74012
Le petit train touristique de Chamonix - Borini,"Site sportif, récréatif et de loisirs",Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.923099,6.869604,http://www.trainchamonix.com/
Pumptrack,"Site sportif, récréatif et de loisirs",Servoz,74310,Haute-Savoie,Auvergne-Rhône-Alpes,45.934065,6.766452,
Camping Les Arolles,Hébergement,Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.914672,6.865779,http://www.lesarolles.com/
Maison des Jeunes et de la Culture,"Site sportif, récréatif et de loisirs",Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.925185,6.872077,http://www.mjchamonix.org/
Cascade du Dard,Site naturel,Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.903597,6.862904,
Studio forme,"Site sportif, récréatif et de loisirs",Pierrelatte,26700,Drôme,Auvergne-Rhône-Alpes,44.367788,4.707949,http://www.lestudioforme.fr/
Poco Loco,Restauration,Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.922599,6.869089,
Itinéraire raquette de la Raverettaz,"Site sportif, récréatif et de loisirs,Itinéraire pédestre",Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.960401,6.88701,"http://www.montblancnaturalresort.com/fr/,http://www.chamoniarde.com/"
Hôtel la Chaumière Mountain lodge,"Restauration,Hébergement",Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.917046,6.859342,http://www.chaumierelodge.com/
Terrain de football des Houches,"Site sportif, récréatif et de loisirs",Les Houches,74310,Haute-Savoie,Auvergne-Rhône-Alpes,45.923,6.7703,http://www.leshouches.com/
Arveyron Open House,"Restauration,Hébergement",Chamonix-Mont-Blanc,74400,Haute-Savoie,Auvergne-Rhône-Alpes,45.934774,6.889704,http://www.arveyron.com/
